california,59,1,2,1,0,3.21,1,1,0,0,0,15,2,50,1
colorado,48,0,2,0,1,14.92,-1,0,0,1,1,5,2,15,0
california,42,0,2,1,1,14.44,1,0,0,0,1,5,2,15,0
california,57,1,0,1,1,1.87,0,1,0,0,0,5,2,15,0
texas,59,0,2,1,0,5.7,0,1,5,0,1,15,0,60,1
texas,35,0,3,1,1,11.36,0,0,0,0,0,5,0,5,0
california,49,0,3,0,1,25.26,0,1,0,0,0,5,0,10,0
colorado,30,1,0,1,0,2.41,0,0,0,0,0,15,2,10,0
texas,46,0,3,1,1,12.49,1,0,0,1,0,5,2,10,0
california,38,0,2,0,1,12.07,-1,0,0,0,0,15,2,10,1
california,60,0,3,1,1,6.79,0,0,0,0,0,5,0,15,0
california,44,0,0,0,1,5.92,0,1,0,0,0,5,2,10,0
colorado,54,0,2,1,1,5.92,0,0,0,0,0,5,0,15,0
california,53,0,0,1,0,1.77,0,0,0,0,0,15,2,50,1
texas,36,0,3,0,1,15.36,0,0,0,0,0,10,4,8,0
texas,40,1,1,1,0,4.73,0,0,0,0,0,10,4,8,0
california,32,0,3,1,1,19.29,0,1,0,0,0,15,0,10,0
texas,34,1,2,1,1,10.39,-1,0,0,0,0,5,0,5,1
texas,33,0,3,0,1,13.49,-1,0,5,1,0,10,4,8,0
colorado,53,0,2,1,0,4.32,1,0,0,1,0,15,0,50,1
colorado,54,0,2,1,0,3.44,1,0,0,0,0,15,0,50,1
texas,41,1,2,1,0,8.57,-1,0,0,0,0,15,0,30,1
colorado,55,0,2,1,0,5.79,0,1,0,0,0,15,2,50,1
colorado,47,0,2,0,1,10.09,0,0,0,1,0,5,4,10,0
california,48,0,2,1,1,16.27,-1,1,0,1,0,5,2,10,1
texas,44,1,1,1,0,7.89,0,0,0,0,0,15,0,30,1
california,49,0,0,1,1,4.55,0,0,5,0,0,5,0,10,0
california,51,1,3,1,1,5.33,0,1,0,0,0,5,2,15,0
colorado,45,0,0,1,0,6.36,0,0,0,0,1,15,0,50,0
california,50,0,3,1,0,10.3,0,0,5,0,1,15,2,50,1
colorado,42,0,3,0,1,19.17,0,1,0,0,0,5,4,10,0
california,51,0,2,1,0,5.03,0,0,0,1,0,15,0,50,1
colorado,51,0,2,0,0,4.75,1,0,0,0,0,15,2,50,0
texas,33,1,3,1,1,10.02,0,1,0,0,0,5,0,5,0
texas,37,0,3,1,1,19.35,0,0,0,0,0,5,2,5,0
colorado,31,0,1,0,1,6.6,1,0,0,0,0,5,2,5,0
colorado,43,1,2,1,1,12.51,0,0,0,0,0,5,2,10,0
california,60,1,2,0,0,4.19,-1,0,5,1,0,15,2,50,1
california,58,1,2,1,1,3.95,-1,0,0,0,0,5,2,15,0
california,45,1,2,1,1,12.18,1,0,0,0,0,15,0,30,1
california,51,0,3,1,1,6.6,0,0,0,1,1,5,0,20,0
california,35,0,2,1,1,9.86,0,0,0,0,0,5,0,5,0
texas,31,0,3,0,1,15.07,-1,1,0,1,0,5,4,5,0
texas,37,0,3,0,0,17.57,1,0,0,0,1,5,2,10,0
colorado,43,0,3,1,1,27.07,0,0,0,1,1,5,2,15,0
colorado,39,0,3,0,1,10.08,0,0,0,0,0,5,4,5,0
california,60,0,0,1,0,1.67,-1,0,0,1,0,15,2,50,1
california,35,0,3,0,1,17.82,-1,0,0,0,0,5,4,5,0
california,30,0,2,1,1,13.45,-1,1,0,0,0,5,0,5,0
colorado,44,0,3,1,1,11.18,1,1,0,0,1,5,0,15,0
california,53,1,3,1,1,6.26,0,0,0,1,0,5,0,15,0
colorado,44,1,2,1,1,7.36,1,0,0,0,0,5,0,10,0
california,51,0,2,0,0,4.35,0,1,0,1,0,15,4,50,1
texas,38,0,2,1,1,11.66,0,0,0,0,0,5,2,5,0
california,47,0,2,1,1,10.81,0,0,0,0,0,5,2,10,0
california,40,0,2,1,1,13.38,0,0,0,0,0,15,2,10,0
colorado,53,1,2,1,0,5.47,0,0,0,0,0,15,2,50,1
